displayweight_i,displayweight_pre_i,displayweight_25_i,displayweight_middle_i,displayweight_high_i,code_s,name_s,orgname_s,url_s,longdescription_t,image_s,tags_s,teachers_notes_s,languages_supported_s,short_code_s,tags_grade_s,string_detail_grades_s,tags_teacher_experience_s,tags_student_experience_s,tags_activity_type_s,tags_subject_s,tags_platform_s,string_platforms_s,string_detail_platforms_s,tags_length_s,tags_programming_language_s,string_detail_programming_languages_s,tags_accessibility_s,string_standards_t,popularityrank_i,popularityrank_pre_i,popularityrank_25_i,popularityrank_middle_i,popularityrank_high_i
356,1,1,356,356,bs_computing,Computing Needs All Voices,Bootstrap,https://bootstrapworld.org/materials/latest/en-us/lessons/computing-needs-all-voices/index.shtml,Free downloadable Poster Series and accompanying lesson in which students learn about a diverse group of pioneers in computing and consider the problem solving advantages that diverse teams foster. ,/images/tutorials/hoc2023/bs_computing.png,2023-tutorial,,en,bscomputing,"all,6-8,9+        ",Grades 6+,beginner,beginner,lesson-plan,history,"no-computers,no-internet",Unplugged,Unplugged,"1hour,1hour-follow",other,Language independent,none,k12cs: P1,999,999,999,999,999
355,1,355,355,1,imagi_python,Creative Coding in Python,imagiLabs,https://imagilabs.com/pages/hour-of-code-x-imagilabs,Join the world's first social network for pre-teens who like to code. Design your first colorful project in minutes with the free imagi app.,/images/tutorials/hoc2021/imagi_python.jpg,2021-tutorial,https://imagilabs.com/pages/free-course,"en,en-GB,sv",imagipython,"all,2-5,6-8",Grades 2-8,beginner,beginner,lesson-plan,art,"android,computers,ios,robotics","Chrome, Firefox, Android tablet, iPad, Android phone, iPhone",,"1hour,1hour-follow",typing,Python,none,,999,999,999,999,999
353,1,1,353,353,sphero_chatgpt,BOLT meets ChatGPT,Sphero,https://edu.sphero.com/cwists/preview/71443x,"ChatGPT, an artificially intelligent chatbot, is all the rage these days. Is there anything it doesn't know? In this activity, explore whether or not ChatGPT can program your BOLT robot, then reflect on the pros and cons of this new technology.",/images/tutorials/hoc2023/sphero_chatgpt.png,2023-tutorial,,en,spherochatgpt,"all,6-8,9+        ",Grades 6+,beginner,beginner,lesson-plan,"ai,cs-only","android,computers,ios,robotics","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",Sphero BOLT,1hour,typing,JavaScript,"tts,highcontrast","CSTA: 2-AP-16, 2-AP-17, 2-OC-20",999,999,999,999,999
352,352,1,352,1,robotical_2,Hour of Code Activity 2 - the Marty Controller,Robotical,https://learn.robotical.io/lesson/Hour-of-Code-the-marty-controller,"Learners will create a sequence of steps to allow a partner to travel a route to a goal, making use of the Marty Controller. Each of the directional symbols has an attached movement; in this lesson, learners will be encouraged to experiment with the directional arrows but the focus will be on the forward arrow.",/images/tutorials/hoc2021/robotical_2.png,2021-tutorial,,"en,en-GB",robotical2,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,lesson-plan,math,"no-computers,no-internet,robotics",Unplugged,Marty the Robot,1hour,other,This makes use of a paper printout of the Marty Controller,none,"CSTA - 1A-AP-12, 1A-AP-14; ISTE - 4a, 6b",999,999,999,999,999
352,352,352,1,1,robotical_3,Hour of Code Activity 3 - Getting Started with Marty Blocks Jr,Robotical,https://learn.robotical.io/lesson/Hour-of-Code-getting-started-with-marty-blocks-jr,"Learners will explore the new interface for Marty, where their instructions will stay on the device screen. Learners will be estimating how many steps they think Marty will need to reach a goal.",/images/tutorials/hoc2021/robotical_3.png,2021-tutorial,,"en,en-GB",robotical3,"all,2-5",Grades 2-5,beginner,beginner,lesson-plan,"la,math","computers,robotics",All modern browsers,Marty the Robot,1hour,blocks,Blocks,none,"CSTA - 1A-AP-10, 1A-AP-14; ISTE - 4c, 6b",999,999,999,999,999
347,1,1,347,347,blupants,BluPants: Learn Coding with Real Robots,BluPants.com,https://blupants.com/hourofcode,"Train a real autonomous robot to pick up blocks and deploy them to the goal by navigating through an obstacle course. Start with drag-and-drop interface, and advance to Python as you get more experienced.",/images/tutorials/hoc2020/blupants.png,2020-tutorial,,en,blupants,"all,6-8,9+",Grades 6+,comfortable,comfortable,lesson-plan,"math,science","computers,robotics",All modern browsers,"Lego Ev3, Alphabot2, DIY Raspberry Pi robot or DIY Beaglebone Blue robot",few-hours,"blocks,typing","Blocks, Python",none,,999,999,999,999,999
345,1,1,345,345,nasa_radio,NASA: Coding a Radio Message in Space,NASA,https://www.jpl.nasa.gov/edu/teach/activity/coding-a-radio-message-for-space/,"In this activity, students use their knowledge of coding to create a system that can send and receive radio signals. Students then encode a message into the signal that can be decoded by other students.",/images/tutorials/hoc2023/nasa_radio.png,2023-tutorial,,en,nasaradio,"all,6-8,9+        ",Grades 6+,comfortable,comfortable,lesson-plan,science,"computers,robotics",All modern browsers,Arduino,1hour,"typing,blocks","Blocks, Python",none,"NGSS 4-PS3-2, MS-PS4-2, HS-PS4-3, HS-PS4-5, HS-PS4-2",999,999,999,999,999
344,1,344,344,1,root_codebreak,iRobot Code Break with Root,iRobot,https://experience.irobot.com/root-code-break-hour-of-code-2019,Use your Root Robot and the Root Coding app to power through printable puzzles and challenges to crack the code to where Root is hiding.,/images/tutorials/hoc2019/root_codebreak.png,2019-tutorial,,"en,en-GB",rootcodebreak,"all,2-5,6-8",Grades 2-8,beginner,beginner,lesson-plan,math,"ios,robotics",iPad,Root robot,1hour,blocks,Blocks,highcontrast,"Grades 2-4 Packet:
CSTA
1A-DA-06
1A-DA-07
1A-AP-08
1A-AP-09
1A-AP-10
1A-AP-11
1A-AP-14
1B-DA-06
1B-AP-09
1B-AP-10
1B-AP-11
1B-AP-15

Grades 5-8 Packet:
CSTA
1A-DA-06
1A-DA-07
1A-AP-08
1A-AP-09
1A-AP-10
1A-AP-11
1A-AP-14
1B-AP-08
1B-AP-09
1B-AP-10
1B-AP-11
1B-AP-15
2-AP-12
2-AP-13
2-AP-14
",999,999,999,999,999
341,1,1,341,1,lego_dance,Break Dance,LEGO® Education,https://education.lego.com/en-us/lessons/prime-life-hacks/break-dance#lesson-plan,Synchronize motor movements of a break dancer to keep in rhythm with light and beats.,/images/tutorials/hoc2020/lego_dance.jpg,2020-tutorial,,en,legodance,"all,6-8",Grades 6-8,beginner,beginner,lesson-plan,math,computers,All modern browsers,LEGO Education SPIKE Prime,1hour-follow,blocks,Blocks,none,CSTA 2-DA-09; CCSS.MATH 6.RP.A.3.D; CCSS.MATH 6.NS.C.5,999,999,999,999,999
339,1,1,339,339,barobo_moon,Moon Base SOS with Arduino,"Barobo, Inc.",https://roboblocky.com/curriculum/hourofcode/arduino/,"You're one of the pioneer astronauts at the first permanent moon base, and while on an expedition away from base, a malfunction incapacitates your lunar rover and radio. But with a little ingenuity you can create a light-signaling device using an Arduino microcontroller, an LED, and drag-and-drop coding to send an SOS.",/images/tutorials/hoc2019/barobo_moon.png,2019-tutorial,https://roboblockly.com/file/650/MoonBaseSOSwithArduinoLessonPlanandNotes.pdf,"en,en-GB",barobomoon,"all,6-8,9+",Grades 6+,beginner,beginner,lesson-plan,science,"computers,robotics",All modern browsers,Barobo Arduino Starter Kit,1hour,"blocks,typing","Blocks, C/C++",none,CSTA,999,999,999,999,999
339,1,339,339,1,microbit_14,"micro:bit: coding towards Global Goal 14, Life Below Water",Micro:bit Educational Foundation,https://microbit.org/news/2020-05-31/microbit-at-home-lightup-fishing-nets/,"Code your way to preserving the oceans using micro:bit. Find out more about Global Goal 14, Life Below Water and learn to code a sea turtle beach light.",/images/tutorials/hoc2019/microbit_14.jpg,2019-tutorial,,"en,en-GB",microbit14,"all,2-5,6-8",Grades 2-8,beginner,beginner,lesson-plan,science,"computers,robotics",All modern browsers,micro:bit,few-hours,blocks,Blocks,none,,999,999,999,999,999
326,1,326,326,1,edison_dog,Code a guard dog with Edison,Meet Edison,https://meetedison.com/robotics-lesson-plans/guard-dog/,Introduce the key computational concepts of loops and conditionals using Edison robots and the programming language EdBlocks. ,/images/tutorials/hoc2019/edison_dog.png,2019-tutorial,,"en,en-GB",eddog,"all,2-5,6-8",Grades 2-6,beginner,beginner,lesson-plan,science,"computers,android,ios,robotics","All modern browsers, iPad, Android tablets",Edison robot,1hour,blocks,Blocks,none,,999,999,999,999,999
326,1,326,326,1,microbit_15,"micro:bit: coding towards Global Goal 15, Life on Land",Micro:bit Educational Foundation,https://microbit.org/news/2020-05-29/microbit-at-home-species-counter/,"Code your way to protecting local wildlife using micro:bit. Find out more about Global Goal 15, Life on Land and learn to code a wildlife species counter.",/images/tutorials/hoc2019/microbit_15.jpg,2019-tutorial,,"en,en-GB",microbit15,"all,2-5,6-8",Grades 2-8,beginner,beginner,lesson-plan,science,"computers,robotics",All modern browsers,micro:bit,few-hours,blocks,Blocks,none,,999,999,999,999,999
320,320,1,1,1,seesaw_emrobot,Em Builds a Robot With Hardware,Seesaw,https://app.seesaw.me/#/activities/library?premium_activity=prompt.d19cf306-8769-4b1e-95fa-f5fde40d0a61&tab=school&grade_level=1,"Learn about hardware and complete multiple activities to sort hardware, match hardware components with their functions, and use hardware to build a robot.",/images/tutorials/hoc2023/seesaw_emrobot.png,2023-tutorial,,"en-GB,es,es-MX",seesawemrobot,"all,pre",Pre-reader - Grade 1,beginner,beginner,lesson-plan,cs-only,"no-computers,no-internet",Unplugged,Unplugged,1hour,blocks,Blocks,"highcontrast,captions","CSTA: 1A-CS-02
ISTE: 1.1.c, 1.5.a
CCSS: CCSS.ELA-LITERACY.SL.1.2, CCSS.ELA-LITERACY.SL.1.5",999,999,999,999,999
319,319,319,1,1,robotical_1,Hour of Code Activity 1 - Marty Unplugged,Robotical,https://learn.robotical.io/lesson/Hour-of-Code-marty-unplugged,"Learners will see Marty the Robot moving with the Unplugged color cards. Learners will then guide a partner to move forward and stop, making use of colored paper. Each of Robotical's colored cards has an instruction built into it, that Marty understands, without the need to write or arrange any code.",/images/tutorials/hoc2021/robotical_1.png,2021-tutorial,,"en,en-GB",robotical1,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,lesson-plan,math,"no-computers,no-internet,robotics",Unplugged,Marty the Robot,1hour,other,"Language independent (can be taught in multiple languages), Color cards are used to command the device featured in the video and to instruct partners.",none,"CSTA: 1A-AP-10, 1A-AP-12; ISTE 4a, 5c",999,999,999,999,999
319,1,1,319,319,blockscad_virus,BlocksCAD Modeling a Virus with Code,BlocksCAD,https://www.blockscad3d.com/hourofcode,Use a 3D design platform to model a virus and learn about how our bodies use geometry to fight these invaders. ,/images/tutorials/hoc2021/blockscad_virus.jpg,2021-tutorial,,"en,en-GB",blockscadvirus,"all,6-8,9+",Grades 6+,comfortable,comfortable,lesson-plan,"math,science",computers,All modern browsers,,few-hours,blocks,Blocks,none,"NGSS Science Alignment
MS-LS1-2 From Molecules to Organisms: Structures and Processes
Develop and use a model to describe the function of a cell as a whole and ways parts of cells contribute to the function.
 
CSTA Alignment
Concept: Modularity
Standard: 2-AP-14: Create procedures with parameters to organize code and make it easier to reuse
Concept: Control
Standard: 1B-AP-10 Create programs that included sequences, events, loops, and conditionals. 
Standard: 2-AP-12: Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals
Standard: 3A-AP-21 Evaluate and refine computational artifacts to make them more usable and accessible.

Math Alignment
Domain: Geometry / Cluster: Apply geometric concepts in modelling situations
Standard: HSG.MG.A.1 Use geometric shapes, their measures, and their properties to describe objects
Standard: HSG.MG.A.3 Apply geometric methods to solve design problems",999,999,999,999,999
319,1,319,1,1,seesaw_robowand,Robo Wand and the Variable Fruit,Seesaw,https://app.seesaw.me/#/activities/library?premium_activity=prompt.dbc44f7c-9e1c-46b3-8736-7c0cdf74c573&tab=school&subject=ComputerScience,"Create and use variables to help Robo Wand accomplish a secret mission and to program Robo Wand on Scratch. Then, work with a partner to use variables in a hands-on Roll It game.",/images/tutorials/hoc2023/seesaw_robowand.png,2023-tutorial,,"en,es-MX",seesawrobowand,"all,2-5",Grades 2-5,comfortable,comfortable,lesson-plan,cs-only,computers,All modern browsers,do-not-show,few-hours,blocks,Blocks,"highcontrast,screenreader","CSTA: 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-15, 1B-AP-16, 1B-AP-17
ISTE: 1.1.c, 1.5.a, 1.6.c
CCSS.ELA-LITERACY.SL.3.1, SL.3.4, W.3.2.B",999,999,140,999,999
292,1,1,1,292,phidgets,A Phidgets Theremin with Processing,Phidgets Inc.,https://www.phidgets.com/education/learn/projects/theremin/,Create an awesome musical instrument with Phidgets and Processing!,/images/tutorials/hoc2019/phidgets.jpg,2019-tutorial,,"en,en-GB",phidgets,"all,9+",Grades 9+,comfortable,comfortable,lesson-plan,art,"computers,robotics",All modern browsers,"Phidgets Getting Started Kit, Phidgets Distance Sensors.","1hour,1hour-follow","blocks,typing,other","Java, Phidgets support ALL major programming languages. Can easily adapt this project to another language/environment.",none,,999,999,999,999,999
291,1,291,291,1,sphero_lightsensor,BOLT: Light Sensor,Sphero,https://edu.sphero.com/cwists/preview/18144x,Learn how to create a program that uses the ambient light sensor to measure lux values and chase BOLT.,/images/tutorials/hoc2018/sphero_lightsensor.png,2018-tutorial,,"ar,zh-ch,zh-tw,en,fr,de,he,it,ja,ko,no,nn,es,es-mx,sv",spherolightsensor,"all,2-5,6-8",Grades 2-8,beginner,beginner,lesson-plan,science,"computers,ios,android,screenreader,robotics","All modern browsers, Android tablet, iPad, Android phone, iPhone, Screen reader",BOLT robot,1hour,blocks,Blocks,none,,313,999,999,999,999
291,1,291,291,1,icompute_imorse,iMorse - Cryptography with Morse Code & Sphero,iCompute,http://www.icompute-uk.com/hoc-2018-4,Explore cryptography with Morse Code and Sphero. Learn that physical systems can be programmed and write code for Sphero to communicate.,/images/tutorials/hoc2018/icompute_imorse.png,2018-tutorial,,en,imorse,"all,2-5,6-8",Grades 2-8,beginner,beginner,lesson-plan,"science,math,history","no-computers,robotics",Unplugged,"Robotics,unplugged",1hour,blocks,Blocks,none,"1A-AP-10 - Develop programs with sequences and simple loops, to express ideas or address a problem.
1A-AP-11 - Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.
1B-AP-11 - Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.
1A-AP-14 - Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.
1B-AP-15 - Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.
1B-CS-02 - Model how computer hardware and software work together as a system to accomplish tasks.
1B-CS-03 - Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.
",999,999,999,999,999
291,1,291,1,1,sphero_community,Your Community,Sphero,https://edu.sphero.com/cwists/preview/18043x,"Design a simple path that represents a common route that you travel everyday. You will create two programs, a drawn path and a block-based program path through your community route.",/images/tutorials/hoc2018/sphero_community.png,2018-tutorial,,"ar,zh-cn,zh-tw,en,fr,de,he,it,ja,ko,no,nn,es,es-mx,sv",spherocommunity,"all,2-5",Grades 2-5,beginner,beginner,lesson-plan,cs-only,"computers,ios,android,screenreader,robotics","All modern browsers, Android tablet, iPad, Android phone, iPhone, Screen reader",Sphero robot,1hour,"blocks,other","Blocks, Draw","screenreader,tts",,312,999,999,999,999
291,1,291,291,1,sphero_communication,Communication,Sphero,https://edu.sphero.com/cwists/preview/18047x,"Learn about miscommunication in both a community and in a computer program. Use this knowledge to resolve any miscommunication, or bugs, in a program in an effort to help BOLT find its way home.",/images/tutorials/hoc2018/sphero_roadblocks.png,2018-tutorial,,"ar,zh-cn,zh-tw,en,fr,de,he,it,ja,ko,no,nn,es,es-mx,sv",spherocomm,"all,2-5,6-8",Grades 2-8,comfortable,comfortable,lesson-plan,cs-only,"computers,android,ios,screenreader,robotics","All modern browsers, Android tablet, iPad, Android phone, iPhone, Screen reader",Sphero robot,1hour,"blocks,typing","Blocks, JavaScript","screenreader,tts",,999,999,999,999,999
291,1,291,291,1,sphero_roadblocks,Roadblocks,Sphero,https://edu.sphero.com/cwists/preview/18045x,"As a continuation of Your Community, you will modify your blocks program as you and your partner encounter different roadblocks along the route.",/images/tutorials/hoc2018/sphero_communication.png,2018-tutorial,,"ar,zh-cn,zh-tw,en,fr,de,he,it,ja,ko,no,nn,es,es-mx,sv",roadblocks,"all,2-5,6-8",Grades 2-8,comfortable,comfortable,lesson-plan,cs-only,"computers,android,ios,screenreader,robotics","All modern browsers, Android tablet, iPad, Android phone, iPhone, Screen reader",Sphero robot,1hour,blocks,Blocks,"screenreader,tts",,999,999,999,999,999
291,1,1,291,1,sphero_infrared,BOLT: Infrared,Sphero,https://edu.sphero.com/cwists/preview/18146x,Become an epidemiologist in order to stop the spread of a rare robot infection that is plaguing a community of BOLT robots.,/images/tutorials/hoc2018/sphero_infrared.png,2018-tutorial,,"ar,zh-ch,zh-tw,en,fr,de,he,it,ja,ko,no,nn,es,es-mx,sv",spheroinfrared,"all,6-8",Grades 6-8,comfortable,comfortable,lesson-plan,science,"computers,android,ios,screenreader","All modern browsers, Android tablet, iPad, Android phone, iPhone, Screen reader",BOLT robot,few-hours,blocks,Blocks,"screenreader,tts",,999,999,999,999,999
279,1,279,279,1,spheroraptor,Jurassic Code: Spheroraptor Escape,Sphero,https://edu.sphero.com/cwists/preview/18611x,"Create a fortified pen to keep the Spheroraptors at bay, while also writing the code to the Spheroraptors escape. From loops, to conditionals, to operators and even comparators, you will need as much coding know-how as you can muster.",/images/tutorials/hoc2018/spheroraptor.png,2018-tutorial,,"ar,zh-ch,zh-tw,en,fr,de,he,it,ja,ko,no,nn,es,es-mx,sv",spheroraptor,"all,2-5,6-8",Grades 2-8,comfortable,comfortable,lesson-plan,cs-only,"computers,android,ios,screenreader,robotics","All modern browsers, Android tablet, iPad, Android phone, iPhone, Screen reader",Sphero robot,1hour,blocks,Blocks,"screenreader,tts",,277,999,151,999,999
277,1,1,277,1,mad_picturethis,Picture This! HTML Decoded,MAD-learn,https://docs.google.com/presentation/d/1Hmv7EQbBhqZGh91C5oHHo58ZUGgjupLH5c67S2C_D-U/edit#slide=id.p1,"This lesson will introduce students to HTML language and teach them how to decode it, even if they have never interacted with HTML code before.  By making observations, students will notice patterns and gain a better understanding of how HTML code is written and interpreted.",/images/tutorials/hoc2022/mad_picturethis.png,2022-tutorial,https://docs.google.com/document/d/1Dk41aVFiYkCgk23zD3AWoPn55HhN69832xUj9gL1nSc/edit,en,madpicturethis,"all,6-8",Grades 6-8,beginner,beginner,lesson-plan,"history,la","no-computers,no-internet",Unplugged,,1hour,"other,typing","Unplugged, HTML",none,"ISTE standards: 1.1 Empowered Learner, 5.1 Computational Thinker",343,999,999,999,999
276,1,1,276,1,ozobot_troll,Evo the Troll,Ozobot,https://portal.ozobot.com/lessons/detail/evo-the-troll,"Learn the difference between Internet trolls and fairy tale trolls, then teach Evo how to be a good troll that protects you. ",/images/tutorials/hoc2018/ozobot_troll.png,2018-tutorial,,en,ozotroll,"all,6-8",Grades 6-8,comfortable,comfortable,lesson-plan,cs-only,"computers,robotics",All modern browsers,Ozobot robot,1hour,blocks,Blocks,none,,999,999,999,999,999
275,1,275,275,275,csta_heroes,CSTA CS Heroes,Computer Science Teachers Association (CSTA),https://www.csedweek.org/post/new-lesson-my-cs-hero-ai,"Each year, CSTA showcases various CS heroes on our CSEdweek website. These heroes represent different industries and communities. Students will research CS heroes that have made an impact in computing while focusing on the positive, negative, and neutral influences on artificial intelligence. Students will be able to plan poster and design posters, and share their posters with others. ",/images/tutorials/hoc2023/csta_heroes.png,2023-tutorial,,en,cstaheroes,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,lesson-plan,"science,math,history,la,art,ai","no-computers,no-internet",Unplugged,Unplugged,1hour,other,Unplugged,highcontrast,CSTA Standards: Impacts of Computing and Algorithms and Programming,999,999,999,999,999
274,1,1,274,274,mod_variables,Investigating Variables & Block Values using Cubelets,Modular Robotics,https://www.modrobotics.com/education/introducing-computer-science/#ics-2,"Students investigate how data flows through a network using Cubelets robot blocks. This lesson assumes students are already familiar with how Cubelets robot blocks work in general.  Visit modrobotics.com/thehub for free ""Meet Your Cubelets"" lessons to introduce this computational thinking tool to your students. ",/images/tutorials/hoc2019/mod_variables.png,2019-tutorial,,en,modvariables,"all,6-8,9+",Grades 6+,comfortable,comfortable,lesson-plan,math,"android,computers,ios,robotics","All modern browsers, Android tablet, Android phone, iPad, iPhone",Cubelets Robot Blocks,1hour,"blocks,typing,other",Language independent (can be taught in multiple languages),none,"ISTE 4.d, 5.b, 5.c; CSTA Algorithms, Variables, Modularity, Inference and Modeling",999,999,999,999,999
273,1,273,1,1,chibitronics,Chibitronics: Illuminated Story,Chibitronics,https://chibitronics.com/illuminated-story-lesson/,Program a paper circuit to light up your own story.,/images/tutorials/hoc2018/chibitronics.png,2018-tutorial,,en,chibitronics,"all,2-5",Grades 2-5,beginner,beginner,lesson-plan,"science,la,art","computers,screenreader,robotics","All modern browsers, Screen reader",Chibitronics Chibi Chip and Circuit Sticker LEDs,1hour-follow,blocks,Blocks,"screenreader,keyboard,highcontrast","• ISTE 1.b.i, 2.b.i
• NGSS 4-PS3 Energy
• CCSS.ELA-LITERACY.SL.5.5",999,999,999,999,999
270,270,1,1,1,irobot_shapes,Robotics for K-2: Robot Shapes,iRobot,https://edu.irobot.com/learning-library/robotics-for-k2-shapes,"Learn about different shapes through pattern recognition and sequencing in this unplugged, printable robot-themed workbook!",/images/tutorials/hoc2021/irobot_shapes.jpg,2021-tutorial,,"en,en-GB",irobotshapes,"all,pre",Pre-reader,beginner,beginner,lesson-plan,"art,math","no-computers,no-internet,robotics",Unplugged,,"1hour,1hour-follow",unplugged,pre-reader computational thinking activity,none,Common Core,999,42,999,999,999
270,270,1,1,1,irobot_parts,Robotics for K-2: Robot Parts,iRobot,https://edu.irobot.com/learning-library/robotics-for-k2-robot-parts,Learn about the different pieces used to build a robot through exploring your senses and practicing math basics.,/images/tutorials/hoc2021/irobot_parts.jpg,2021-tutorial,,"en,en-GB",irobotparts,"all,pre",Pre-reader,beginner,beginner,lesson-plan,"art,la,math,science","no-computers,no-internet,robotics",Unplugged,,1hour,unplugged,pre-reader computational thinking activity,none,Common Core,999,999,999,999,999
266,1,1,1,266,nearpod_coding,Topic Spark: Coding,Nearpod,https://nearpod.com/t/science/8th-grade/flo-coding-L42842613,"In this 25-30 minute Nearpod featuring Flocabulary topic spark, students are introduced to coding through a hip hop video and Nearpod's signature interactive features. This lesson features the Flocabulary video Coding.",/images/tutorials/hoc2020/nearpod_coding.png,2020-tutorial,,en,nearpodcoding,"all,9+",Grades 9+,beginner,beginner,lesson-plan,cs-only,"computers,screenreader","All modern browsers, Screen reader",,1hour,other,Language independent (can be taught in multiple languages),"screenreader,tts",,999,999,999,999,999
266,1,1,266,1,codesters_micro,Codesters: Create a Micro Ball Game,Learning.com,https://www.codesters.com/curriculum/hour-of-code-2019/Micro+Ball/,"Connect your micro:bit to Codesters and unlock a world of possibilities. Use your micro:bit as a game controller to help your player head a soccer ball. Don't let the ball hit the ground! Micro Ball is a simple, fun game that even a beginning coder can make.",/images/tutorials/hoc2019/codesters_micro.png,2019-tutorial,http://guide.codesters.com/hour-of-code-2019/micro-ball,en,codestersmicro,"all,6-8",Grades 6-8,beginner,beginner,lesson-plan,cs-only,"computers,robotics",All modern browsers ,BBC micro:bit,1hour,typing,Python,none,,999,999,999,999,999
261,1,1,261,1,codesters_data,Codesters: Code & Graph micro:bit Data,Learning.com,https://www.codesters.com/curriculum/hour-of-code-2019/Micro+Data/,"Connect your micro:bit to Codesters and unlock a world of possibilities. Learn how to collect and store data from micro:bit sensors. Then graph the data as a scatter plot in Codesters. Prior knowledge of loops, lists, and events is encouraged.",/images/tutorials/hoc2019/codesters_data.png,2019-tutorial,http://guide.codesters.com/hour-of-code-2019/micro-data,en,codestersdata,"all,6-8",Grades 6-8,comfortable,comfortable,lesson-plan,cs-only,"computers,robotics",All modern browsers ,BBC micro:bit,1hour,typing,Python,none,CSTA,999,999,999,999,999
260,1,1,260,1,thunkable_translator,Build a Translator and Text-to-Speech App with Thunkable,Thunkable,https://blog.thunkable.com/hour-of-code-2023,Build an app that translates languages for you and turns your speech into text,/images/tutorials/hoc2023/thunkable_translator.png,2023-tutorial,https://www.youtube.com/playlist?list=PLB89L9PPGIrznDQS234PIEz4r3U8PMn31,en,thunkabletranslator,"all,6-8      ",Grades 6-8,beginner,beginner,lesson-plan,cs-only,computers,All modern browsers,do-not-show,1hour,blocks,Blocks,"highcontrast,captions",do-not-show,999,999,999,999,999
259,1,259,259,1,lego_hopper,Hopper Race,LEGO® Education,https://education.lego.com/en-us/lessons/prime-invention-squad/hopper-race#lesson-plan,Design multiple prototypes to find the most effective way to move a robot without using wheels.,/images/tutorials/hoc2020/lego_hopper.jpg,2020-tutorial,,en,legohopper,"all,2-5,6-8",Grades 2-8,beginner,beginner,lesson-plan,"math,science","computers,robotics",All modern browsers,LEGO Education SPIKE Prime robot,1hour-follow,blocks,Blocks,none,NGSS MS-ETS1-1; CCSS ELA SL.6.1.C; CCSS MATH 6.EE.B.7,999,999,999,999,999
255,255,255,255,1,ww_activitypackets,Wonder Workshop Activity Packets,Wonder Workshop,http://hourofcode.makewonder.com/,"Find hours of family-friendly fun with Wonder Workshop's printable packets of creative coding activities. Bring coding to life with Dash, Dot, and Cue robots by downloading these online and offline activities to use during Hour of Code and beyond!",/images/tutorials/hoc2018/ww_activitypackets.jpg,2018-tutorial,,en,activitypackets,"all,pre,2-5,6-8",Pre-reader - Grade 8,beginner,beginner,lesson-plan,"math,la,art","no-computers,ios,android,robotics","Unplugged, iOS, Android, Kindle, Chrome* (*Cue only)",Dash or Cue robot,few-hours,blocks,"Blocks, Wonder, Xylo, Blockly",none,,999,44,999,999,999
246,246,246,1,1,kinder_kibobowl,Measure and Predict with KIBO Robot Bowling,"KinderLab Robotics, Inc.",http://kinderlabrobotics.com/hour-of-code-kibo-bowling/,"Crash! How far does KIBO have to move to get from the start of the bowling lane to the pins? You can create a single straight lane or a more complicated path. Students will use estimation and measurement to create a program to travel the length of the lane. They'll test how far a single forward block carries KIBO, then improve their programs using the Engineering Design Process.",/images/tutorials/hoc2018/kinder_kibobowl.jpg,2018-tutorial,,en,kibobowl,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,lesson-plan,math,"computers,robotics",All modern browsers,KIBO Robot Kit,1hour,blocks,Blocks,none,"CSTA K-12 Computer Science Standards Addressed:
- 1A-AP-10 Develop programs with sequences and simple loops, to express ideas or address a problem. (P5.2)
- 1A-AP-11 Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions. (P3.2)
Common Core Math:
- CCSS.MATH.CONTENT.1.MD.A.2: Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.
- CCSS.MATH.CONTENT.2.MD.A.1: Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",999,999,999,999,999
246,1,1,246,246,microblocks_meteor,Make a Falling Meteors Game for the BBC micro:bit,MicroBlocks,https://gpblocks.org/hourOfCode2018/microbitGame/,"In this project, you'll create a Falling Meteors game for the BBC micro:bit. Using the buttons, the player will move a shield to catch falling meteors and save the Earth. The techniques you learn in this project can be used to make many other games for the BBC micro:bit, including classics such as Pong and Space Invaders.",/images/tutorials/hoc2018/microblocks_meteor.png,2018-tutorial,,en,meteor,"all,6-8,9+",Grades 6+,comfortable,comfortable,lesson-plan,art,"computers,robotics","Windows, Mac OS, Linux, or Chromebook",BBC micro:bit,1hour,blocks,Blocks,none,,999,999,999,999,999
