Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.54,0.42,0.14,0.73,0.32,0.14,0.23,9
I,0.55,0.44,0.14,0.77,0.37,0.15,0.23,8
F,0.55,0.45,0.15,0.80,0.35,0.16,0.21,9
I,0.55,0.43,0.15,0.73,0.30,0.13,0.25,10
I,0.55,0.41,0.14,0.59,0.27,0.12,0.19,8
I,0.55,0.43,0.15,0.79,0.37,0.17,0.22,11
F,0.55,0.41,0.13,0.65,0.30,0.14,0.20,9
M,0.55,0.43,0.15,0.87,0.41,0.19,0.25,9
I,0.55,0.44,0.14,0.75,0.33,0.16,0.23,10
I,0.55,0.43,0.14,0.73,0.33,0.15,0.22,9
M,0.56,0.44,0.14,0.87,0.41,0.16,0.26,9
I,0.56,0.43,0.16,0.74,0.31,0.14,0.28,10
I,0.56,0.43,0.14,0.77,0.34,0.17,0.23,9
I,0.56,0.43,0.15,0.79,0.35,0.18,0.23,9
I,0.56,0.43,0.14,0.82,0.37,0.19,0.24,9
I,0.56,0.43,0.15,0.69,0.31,0.13,0.22,9
F,0.56,0.45,0.16,1.22,0.56,0.32,0.27,10
I,0.56,0.46,0.15,0.97,0.55,0.16,0.24,9
I,0.57,0.44,0.18,0.87,0.41,0.21,0.21,11
F,0.57,0.45,0.15,0.85,0.42,0.17,0.23,8
M,0.57,0.45,0.15,0.80,0.36,0.18,0.22,8
M,0.57,0.39,0.13,0.74,0.35,0.13,0.17,11
I,0.57,0.45,0.15,0.75,0.28,0.22,0.22,10
I,0.57,0.45,0.14,0.79,0.38,0.14,0.25,8
F,0.57,0.46,0.14,0.98,0.40,0.25,0.27,9
M,0.57,0.44,0.17,0.87,0.38,0.18,0.27,10
I,0.57,0.44,0.13,0.77,0.35,0.18,0.20,10
M,0.57,0.44,0.13,0.90,0.38,0.18,0.28,9
F,0.58,0.42,0.14,0.86,0.46,0.15,0.21,10
F,0.58,0.48,0.17,1.08,0.51,0.21,0.31,9
M,0.58,0.46,0.16,0.89,0.44,0.18,0.22,10
M,0.58,0.46,0.16,1.44,0.67,0.27,0.30,10
M,0.58,0.46,0.14,0.80,0.41,0.17,0.20,10
F,0.58,0.45,0.15,0.86,0.40,0.16,0.25,8
M,0.59,0.47,0.16,0.91,0.46,0.20,0.24,9
M,0.59,0.49,0.19,1.17,0.52,0.25,0.34,10
I,0.59,0.48,0.16,1.05,0.48,0.23,0.29,10
M,0.59,0.46,0.17,1.11,0.58,0.23,0.27,10
M,0.59,0.47,0.17,1.41,0.80,0.23,0.30,10
M,0.59,0.48,0.15,1.07,0.53,0.20,0.29,10
M,0.59,0.45,0.18,0.80,0.34,0.19,0.24,8
I,0.59,0.45,0.14,0.77,0.33,0.17,0.23,9
M,0.59,0.47,0.18,1.19,0.60,0.23,0.31,9
M,0.59,0.46,0.16,0.89,0.39,0.19,0.28,10
F,0.60,0.47,0.15,0.98,0.41,0.20,0.23,10
F,0.60,0.47,0.16,1.03,0.46,0.11,0.31,12
M,0.60,0.48,0.17,1.13,0.51,0.27,0.31,10
M,0.60,0.48,0.16,1.01,0.45,0.19,0.33,11
I,0.60,0.48,0.15,1.12,0.57,0.25,0.27,10
F,0.60,0.47,0.16,1.04,0.48,0.25,0.28,11
F,0.60,0.46,0.15,0.89,0.42,0.17,0.27,10
M,0.60,0.46,0.16,0.96,0.45,0.19,0.30,11
I,0.61,0.49,0.15,1.24,0.63,0.23,0.33,11
M,0.61,0.49,0.14,0.98,0.42,0.21,0.32,10
I,0.61,0.44,0.13,0.90,0.43,0.17,0.26,11
F,0.61,0.48,0.18,1.08,0.46,0.22,0.34,9
F,0.61,0.47,0.16,1.08,0.54,0.22,0.28,12
M,0.61,0.45,0.15,0.87,0.41,0.18,0.25,10
M,0.61,0.48,0.17,1.24,0.63,0.26,0.31,12
M,0.61,0.48,0.17,1.03,0.44,0.23,0.30,10
I,0.61,0.47,0.15,0.96,0.45,0.17,0.29,9
M,0.61,0.48,0.17,1.14,0.46,0.29,0.35,10
M,0.61,0.46,0.16,1.00,0.49,0.20,0.28,10
F,0.62,0.48,0.16,1.00,0.45,0.19,0.29,10
M,0.62,0.47,0.17,1.13,0.45,0.22,0.34,10
M,0.62,0.50,0.17,1.05,0.48,0.23,0.30,10
F,0.62,0.48,0.17,1.02,0.49,0.20,0.30,12
M,0.62,0.48,0.17,1.13,0.48,0.30,0.30,10
M,0.62,0.48,0.18,1.12,0.45,0.32,0.30,9
F,0.62,0.48,0.16,1.12,0.48,0.21,0.36,10
M,0.62,0.51,0.18,1.28,0.57,0.24,0.39,10
M,0.62,0.50,0.18,1.26,0.58,0.25,0.36,12
F,0.62,0.50,0.15,1.29,0.60,0.31,0.35,10
F,0.62,0.48,0.16,1.13,0.46,0.27,0.33,10
M,0.63,0.46,0.17,1.08,0.50,0.23,0.32,9
F,0.63,0.51,0.18,1.15,0.55,0.26,0.30,11
F,0.63,0.52,0.16,1.26,0.57,0.33,0.32,9
F,0.63,0.48,0.16,1.20,0.59,0.24,0.32,12
F,0.63,0.49,0.17,1.32,0.59,0.35,0.35,9
I,0.63,0.51,0.18,1.27,0.60,0.30,0.32,11
M,0.63,0.49,0.15,1.06,0.51,0.18,0.34,12
I,0.63,0.48,0.15,1.06,0.52,0.22,0.28,10
M,0.63,0.50,0.16,1.09,0.50,0.22,0.32,12
M,0.64,0.49,0.16,1.10,0.53,0.19,0.35,10
F,0.64,0.50,0.17,1.46,0.71,0.26,0.39,9
F,0.64,0.50,0.18,1.21,0.71,0.27,0.32,9
M,0.64,0.48,0.17,1.19,0.52,0.27,0.37,10
M,0.64,0.51,0.16,0.99,0.41,0.23,0.31,10
M,0.64,0.57,0.23,1.52,0.64,0.37,0.41,15
M,0.64,0.53,0.18,1.31,0.49,0.30,0.41,10
M,0.65,0.51,0.16,1.18,0.56,0.24,0.35,11
M,0.65,0.50,0.20,1.40,0.62,0.35,0.37,10
M,0.65,0.53,0.16,1.51,0.75,0.25,0.43,11
F,0.65,0.51,0.17,1.16,0.48,0.27,0.35,11
F,0.65,0.59,0.22,1.66,0.77,0.38,0.44,11
M,0.65,0.53,0.18,1.54,0.69,0.36,0.41,11
M,0.65,0.51,0.19,1.54,0.72,0.37,0.38,9
F,0.65,0.51,0.17,1.57,0.72,0.35,0.39,10
F,0.66,0.53,0.19,1.36,0.56,0.32,0.40,10
M,0.66,0.54,0.21,1.64,0.73,0.36,0.46,13
F,0.66,0.52,0.19,1.45,0.60,0.39,0.38,10
M,0.66,0.49,0.18,1.36,0.64,0.29,0.37,10
F,0.66,0.50,0.21,1.55,0.72,0.35,0.39,10
F,0.66,0.52,0.17,1.34,0.62,0.31,0.36,10
F,0.67,0.53,0.18,1.49,0.63,0.34,0.44,10
F,0.67,0.53,0.23,1.56,0.63,0.49,0.37,11
F,0.67,0.51,0.18,1.01,0.44,0.27,0.37,10
M,0.68,0.55,0.19,1.74,0.88,0.31,0.47,13
M,0.69,0.55,0.21,1.79,0.81,0.42,0.46,9
F,0.70,0.57,0.19,1.76,0.75,0.40,0.50,11
F,0.70,0.55,0.13,1.56,0.67,0.37,0.20,12
M,0.71,0.57,0.52,2.21,1.11,0.49,0.51,10
M,0.71,0.56,0.22,2.14,1.05,0.38,0.53,11
F,0.71,0.57,0.18,1.53,0.96,0.42,0.43,12
F,0.71,0.55,0.17,1.61,0.74,0.35,0.45,11
F,0.72,0.58,0.17,1.93,0.91,0.39,0.51,13
M,0.72,0.58,0.22,2.17,0.95,0.56,0.54,12
F,0.73,0.60,0.20,1.74,0.70,0.36,0.60,11
F,0.73,0.58,0.19,1.74,0.68,0.43,0.52,11
F,0.74,0.57,0.21,2.13,0.95,0.46,0.57,12
F,0.75,0.57,0.22,2.25,1.16,0.45,0.56,9
F,0.75,0.61,0.24,2.51,1.23,0.52,0.61,14
F,0.82,0.65,0.25,2.26,0.89,0.42,0.80,14
I,0.14,0.11,0.04,0.01,0.01,0.00,0.00,3
I,0.23,0.17,0.06,0.05,0.02,0.01,0.04,4
I,0.37,0.27,0.14,0.22,0.11,0.05,0.06,7
I,0.37,0.26,0.08,0.20,0.08,0.03,0.05,5
I,0.37,0.27,0.10,0.23,0.13,0.04,0.06,6
I,0.38,0.28,0.09,0.32,0.19,0.05,0.07,7
I,0.39,0.30,0.09,0.25,0.12,0.04,0.07,5
I,0.40,0.30,0.09,0.30,0.14,0.07,0.08,5
I,0.40,0.29,0.11,0.33,0.19,0.05,0.08,6
I,0.40,0.30,0.09,0.28,0.12,0.06,0.08,7
I,0.41,0.31,0.10,0.34,0.18,0.06,0.09,8
I,0.41,0.29,0.09,0.28,0.11,0.08,0.08,7
I,0.41,0.30,0.11,0.30,0.15,0.06,0.08,6
I,0.41,0.32,0.10,0.29,0.14,0.06,0.07,5
M,0.42,0.32,0.12,0.39,0.20,0.07,0.10,9
I,0.43,0.34,0.11,0.39,0.20,0.09,0.09,6
I,0.43,0.34,0.11,0.44,0.24,0.07,0.11,6
I,0.44,0.34,0.11,0.37,0.16,0.08,0.10,5
M,0.44,0.32,0.12,0.46,0.24,0.09,0.10,8
I,0.44,0.37,0.11,0.45,0.21,0.09,0.11,9
M,0.45,0.34,0.13,0.45,0.22,0.13,0.11,6
I,0.46,0.34,0.14,0.50,0.27,0.10,0.11,7
I,0.46,0.36,0.11,0.44,0.20,0.10,0.13,8
I,0.47,0.35,0.14,0.46,0.23,0.11,0.12,9
I,0.47,0.35,0.13,0.43,0.19,0.12,0.12,6
I,0.47,0.36,0.12,0.37,0.13,0.08,0.14,6
M,0.48,0.37,0.13,0.65,0.35,0.14,0.14,8
I,0.48,0.37,0.12,0.46,0.22,0.09,0.12,7
F,0.48,0.37,0.12,0.57,0.28,0.12,0.13,7
I,0.48,0.36,0.13,0.54,0.28,0.10,0.15,7
I,0.49,0.38,0.12,0.47,0.21,0.11,0.15,6
M,0.49,0.39,0.09,0.64,0.29,0.10,0.20,8
M,0.49,0.37,0.13,0.53,0.25,0.11,0.16,6
F,0.50,0.38,0.12,0.57,0.27,0.13,0.14,7
M,0.51,0.39,0.11,0.55,0.24,0.12,0.16,9
F,0.51,0.38,0.14,0.69,0.36,0.16,0.16,9
I,0.52,0.40,0.13,0.56,0.27,0.10,0.17,8
M,0.52,0.43,0.15,0.94,0.50,0.18,0.22,8
I,0.52,0.40,0.13,0.56,0.25,0.12,0.17,7
M,0.52,0.40,0.13,0.56,0.25,0.14,0.15,8
M,0.53,0.40,0.14,0.72,0.37,0.15,0.17,8
I,0.53,0.43,0.13,0.70,0.35,0.14,0.19,9
M,0.53,0.40,0.13,0.76,0.40,0.15,0.18,8
F,0.55,0.41,0.14,0.74,0.36,0.18,0.20,9
F,0.55,0.43,0.14,0.84,0.38,0.22,0.19,8
M,0.55,0.43,0.16,0.79,0.34,0.20,0.22,9
F,0.56,0.43,0.15,0.87,0.45,0.16,0.22,8
F,0.56,0.44,0.15,0.87,0.48,0.18,0.18,9
M,0.57,0.45,0.15,0.99,0.50,0.21,0.25,8
M,0.58,0.47,0.15,1.08,0.60,0.21,0.24,9
M,0.58,0.46,0.17,0.92,0.40,0.25,0.24,8
F,0.58,0.46,0.18,1.17,0.65,0.22,0.31,9
F,0.58,0.44,0.14,0.95,0.48,0.22,0.21,9
M,0.59,0.46,0.15,0.91,0.41,0.23,0.23,8
M,0.59,0.44,0.15,0.87,0.39,0.22,0.25,8
F,0.59,0.47,0.15,1.15,0.61,0.24,0.25,9
F,0.59,0.46,0.15,0.99,0.45,0.22,0.28,8
F,0.60,0.46,0.16,1.04,0.45,0.27,0.29,9
M,0.60,0.46,0.16,0.95,0.44,0.21,0.25,8
M,0.60,0.47,0.20,1.26,0.64,0.20,0.36,9
F,0.61,0.49,0.17,0.95,0.45,0.19,0.28,11
F,0.61,0.49,0.16,1.20,0.42,0.29,0.38,9
F,0.61,0.52,0.17,1.29,0.60,0.29,0.33,9
F,0.61,0.49,0.17,1.10,0.51,0.23,0.31,11
I,0.62,0.48,0.13,0.84,0.35,0.19,0.25,8
M,0.62,0.49,0.16,1.05,0.46,0.23,0.25,10
F,0.62,0.44,0.16,1.01,0.48,0.24,0.28,8
M,0.62,0.48,0.17,1.07,0.48,0.24,0.31,9
M,0.63,0.52,0.18,1.41,0.69,0.32,0.35,10
M,0.63,0.47,0.18,1.14,0.45,0.32,0.31,11
M,0.63,0.47,0.15,1.10,0.52,0.26,0.28,9
F,0.63,0.50,0.18,1.11,0.47,0.27,0.33,10
M,0.63,0.46,0.15,1.13,0.48,0.27,0.31,9
M,0.63,0.48,0.15,1.27,0.66,0.24,0.31,11
F,0.63,0.49,0.23,1.34,0.68,0.26,0.32,10
F,0.64,0.51,0.15,1.13,0.51,0.27,0.32,10
M,0.64,0.51,0.19,1.31,0.54,0.32,0.38,8
F,0.64,0.52,0.21,1.53,0.66,0.33,0.40,9
F,0.65,0.52,0.18,1.55,0.70,0.37,0.42,10
M,0.65,0.51,0.16,1.54,0.64,0.36,0.43,11
F,0.65,0.51,0.17,1.32,0.55,0.30,0.34,11
F,0.65,0.55,0.18,1.52,0.59,0.33,0.50,10
M,0.65,0.52,0.18,1.47,0.68,0.30,0.40,10
F,0.65,0.50,0.16,1.38,0.70,0.30,0.32,9
M,0.65,0.49,0.14,1.18,0.48,0.24,0.22,8
F,0.66,0.54,0.22,1.56,0.70,0.30,0.44,11
M,0.66,0.51,0.22,1.78,0.89,0.41,0.42,11
M,0.66,0.51,0.17,1.37,0.59,0.35,0.35,10
F,0.67,0.52,0.18,1.39,0.59,0.32,0.40,10
M,0.67,0.55,0.20,1.70,0.83,0.37,0.41,11
M,0.67,0.51,0.18,1.53,0.65,0.45,0.35,10
M,0.67,0.50,0.19,1.52,0.62,0.39,0.42,10
F,0.68,0.50,0.19,1.74,0.77,0.33,0.47,12
M,0.68,0.52,0.17,1.61,0.84,0.31,0.40,11
M,0.69,0.53,0.20,1.78,0.92,0.33,0.46,12
F,0.70,0.55,0.17,1.68,0.75,0.33,0.32,11
M,0.70,0.56,0.20,1.86,0.73,0.37,0.60,11
M,0.71,0.56,0.17,1.68,0.80,0.41,0.39,10
M,0.72,0.57,0.20,2.11,1.02,0.36,0.49,12
M,0.73,0.58,0.24,2.21,1.35,0.41,0.50,13
M,0.74,0.57,0.18,1.87,0.91,0.43,0.45,10
M,0.75,0.55,0.18,1.89,0.94,0.40,0.45,11
I,0.21,0.17,0.05,0.05,0.02,0.01,0.01,5
I,0.29,0.21,0.06,0.10,0.04,0.02,0.03,5
I,0.30,0.22,0.07,0.12,0.05,0.02,0.04,6
I,0.30,0.23,0.09,0.12,0.05,0.02,0.04,6
I,0.31,0.23,0.09,0.15,0.06,0.03,0.04,6
I,0.34,0.26,0.08,0.17,0.08,0.04,0.05,5
I,0.35,0.26,0.08,0.18,0.09,0.02,0.06,5
I,0.36,0.27,0.08,0.18,0.08,0.03,0.05,6
I,0.36,0.26,0.09,0.20,0.07,0.05,0.06,7
I,0.36,0.27,0.10,0.20,0.07,0.06,0.06,8
I,0.36,0.28,0.08,0.22,0.10,0.04,0.07,7
I,0.36,0.27,0.08,0.18,0.08,0.04,0.06,7
I,0.37,0.27,0.09,0.22,0.09,0.05,0.07,7
I,0.37,0.27,0.10,0.22,0.10,0.05,0.07,6
I,0.38,0.28,0.08,0.22,0.09,0.09,0.07,7
I,0.38,0.29,0.10,0.24,0.09,0.07,0.08,7
I,0.38,0.29,0.10,0.24,0.11,0.04,0.08,6
I,0.39,0.29,0.09,0.24,0.10,0.05,0.08,8
I,0.39,0.28,0.10,0.26,0.12,0.06,0.07,7
I,0.39,0.30,0.09,0.31,0.15,0.06,0.08,8
I,0.39,0.30,0.09,0.25,0.11,0.05,0.08,7
I,0.39,0.29,0.10,0.28,0.13,0.06,0.08,7
I,0.39,0.29,0.10,0.22,0.10,0.05,0.07,7
I,0.41,0.30,0.09,0.30,0.13,0.07,0.10,8
I,0.41,0.30,0.09,0.28,0.14,0.06,0.08,8
I,0.42,0.33,0.10,0.31,0.14,0.06,0.10,7
I,0.43,0.33,0.11,0.32,0.14,0.05,0.09,8
I,0.43,0.32,0.08,0.30,0.13,0.06,0.10,7
I,0.44,0.34,0.10,0.33,0.13,0.07,0.11,7
I,0.44,0.33,0.11,0.37,0.16,0.08,0.11,6
I,0.45,0.34,0.10,0.32,0.14,0.06,0.11,8
I,0.45,0.34,0.11,0.42,0.18,0.09,0.13,7
I,0.46,0.36,0.12,0.46,0.21,0.09,0.15,10
I,0.46,0.35,0.11,0.40,0.18,0.08,0.12,7
I,0.46,0.36,0.11,0.43,0.20,0.08,0.13,7
I,0.47,0.37,0.12,0.44,0.19,0.08,0.15,9
I,0.47,0.35,0.11,0.39,0.18,0.07,0.12,8
I,0.47,0.36,0.13,0.50,0.21,0.10,0.16,8
I,0.48,0.36,0.15,0.63,0.28,0.14,0.19,8
M,0.48,0.36,0.10,0.43,0.20,0.10,0.11,7
I,0.48,0.36,0.13,0.49,0.21,0.13,0.13,8
I,0.48,0.37,0.13,0.47,0.18,0.10,0.18,9
I,0.48,0.37,0.12,0.54,0.25,0.11,0.15,8
M,0.48,0.36,0.16,0.46,0.22,0.11,0.24,8
I,0.49,0.38,0.13,0.60,0.29,0.13,0.16,7
I,0.49,0.38,0.12,0.46,0.20,0.09,0.14,8
I,0.49,0.40,0.14,0.62,0.30,0.13,0.17,8
I,0.50,0.37,0.13,0.47,0.21,0.09,0.15,8
I,0.50,0.40,0.11,0.60,0.25,0.13,0.19,8
I,0.50,0.40,0.12,0.62,0.26,0.14,0.19,8
I,0.50,0.39,0.12,0.60,0.25,0.15,0.17,8
I,0.50,0.38,0.14,0.56,0.24,0.14,0.17,9
I,0.51,0.40,0.13,0.60,0.28,0.14,0.16,7
F,0.52,0.38,0.11,0.61,0.30,0.13,0.15,6
I,0.52,0.36,0.13,0.47,0.18,0.13,0.14,9
I,0.52,0.35,0.11,0.47,0.21,0.12,0.13,10
I,0.52,0.40,0.13,0.66,0.32,0.14,0.17,8
I,0.52,0.39,0.13,0.57,0.24,0.13,0.19,8
I,0.52,0.41,0.15,0.65,0.30,0.16,0.17,9
I,0.52,0.39,0.13,0.55,0.24,0.11,0.19,7
M,0.53,0.42,0.15,0.85,0.35,0.16,0.29,8
I,0.53,0.39,0.12,0.66,0.31,0.15,0.18,9
I,0.53,0.38,0.14,0.62,0.26,0.16,0.18,8
I,0.53,0.40,0.14,0.65,0.31,0.16,0.17,7
M,0.53,0.40,0.16,0.71,0.28,0.16,0.23,9
I,0.53,0.42,0.12,0.60,0.26,0.14,0.18,7
I,0.53,0.43,0.14,0.63,0.25,0.15,0.21,10
I,0.53,0.40,0.15,0.56,0.19,0.13,0.20,9
I,0.53,0.42,0.13,0.84,0.37,0.17,0.25,11
I,0.54,0.40,0.13,0.66,0.28,0.16,0.18,7
I,0.54,0.43,0.17,0.84,0.37,0.18,0.24,9
I,0.54,0.43,0.14,0.74,0.32,0.14,0.25,9
I,0.54,0.43,0.14,0.82,0.39,0.17,0.23,9
M,0.54,0.46,0.14,0.97,0.42,0.26,0.27,10
I,0.54,0.42,0.14,0.63,0.25,0.12,0.24,9
I,0.54,0.43,0.13,0.72,0.30,0.17,0.23,10
I,0.54,0.43,0.14,0.69,0.35,0.15,0.21,8
I,0.55,0.40,0.13,0.69,0.33,0.15,0.18,9
I,0.55,0.38,0.12,0.54,0.24,0.12,0.17,8
I,0.55,0.42,0.13,0.72,0.36,0.11,0.22,8
M,0.55,0.44,0.14,0.76,0.33,0.17,0.26,10
I,0.55,0.43,0.15,0.64,0.27,0.13,0.22,9
I,0.55,0.42,0.14,0.82,0.40,0.15,0.23,12
I,0.55,0.42,0.15,0.78,0.37,0.16,0.22,8
I,0.55,0.43,0.15,0.77,0.34,0.18,0.21,8
I,0.56,0.40,0.13,0.56,0.22,0.12,0.17,9
I,0.56,0.44,0.14,0.77,0.39,0.15,0.21,8
I,0.56,0.46,0.15,0.90,0.38,0.16,0.28,11
I,0.56,0.45,0.15,0.82,0.37,0.19,0.24,10
I,0.56,0.44,0.13,0.72,0.35,0.15,0.20,8
M,0.56,0.43,0.14,0.85,0.33,0.22,0.26,10
I,0.57,0.42,0.16,0.74,0.31,0.19,0.23,9
F,0.57,0.44,0.15,0.86,0.44,0.15,0.27,9
M,0.57,0.44,0.13,0.80,0.36,0.18,0.22,9
M,0.57,0.43,0.15,0.83,0.42,0.17,0.22,10
F,0.57,0.45,0.14,0.78,0.33,0.19,0.21,8
M,0.57,0.45,0.14,0.80,0.34,0.15,0.25,9
I,0.57,0.44,0.17,0.85,0.40,0.17,0.25,9
I,0.57,0.43,0.15,0.83,0.35,0.14,0.28,10
I,0.57,0.45,0.16,0.87,0.37,0.17,0.28,9
I,0.57,0.45,0.15,0.74,0.31,0.17,0.18,12
M,0.58,0.46,0.17,0.87,0.38,0.18,0.27,8
I,0.58,0.43,0.14,0.80,0.36,0.20,0.24,10
F,0.58,0.47,0.16,1.12,0.51,0.24,0.34,10
I,0.58,0.45,0.13,0.78,0.33,0.19,0.24,9
M,0.58,0.47,0.19,0.99,0.37,0.22,0.36,10
F,0.58,0.47,0.20,1.00,0.42,0.25,0.47,8
I,0.58,0.45,0.17,0.80,0.35,0.15,0.25,9
I,0.58,0.45,0.14,0.81,0.36,0.18,0.25,10
F,0.58,0.44,0.15,1.03,0.46,0.22,0.36,8
M,0.58,0.45,0.16,0.84,0.40,0.20,0.24,9
M,0.58,0.44,0.16,0.96,0.48,0.17,0.28,13
F,0.58,0.44,0.15,0.83,0.43,0.15,0.23,8
M,0.58,0.46,0.16,1.03,0.47,0.22,0.30,10
M,0.58,0.43,0.13,0.80,0.37,0.17,0.23,10
I,0.58,0.45,0.13,0.71,0.30,0.14,0.24,9
F,0.59,0.45,0.14,0.91,0.43,0.22,0.25,10
M,0.59,0.49,0.17,1.21,0.56,0.24,0.31,10
I,0.59,0.45,0.15,1.02,0.43,0.27,0.27,10
I,0.59,0.46,0.15,0.90,0.42,0.18,0.26,11
F,0.60,0.44,0.15,0.90,0.42,0.17,0.27,8
M,0.60,0.45,0.14,0.84,0.40,0.19,0.22,10
M,0.60,0.45,0.15,0.96,0.46,0.21,0.25,10
I,0.60,0.46,0.15,0.83,0.38,0.19,0.24,8
F,0.60,0.46,0.16,0.97,0.43,0.20,0.30,8
F,0.60,0.48,0.15,1.13,0.58,0.20,0.31,9
M,0.60,0.48,0.17,0.92,0.41,0.20,0.27,9
I,0.60,0.48,0.17,0.92,0.38,0.22,0.29,8
F,0.60,0.48,0.18,1.06,0.45,0.25,0.33,10
M,0.60,0.47,0.17,1.06,0.50,0.24,0.28,9
M,0.60,0.47,0.16,1.19,0.56,0.30,0.26,10
F,0.61,0.46,0.15,0.98,0.47,0.18,0.28,9
M,0.61,0.48,0.15,0.88,0.38,0.19,0.27,8
I,0.61,0.47,0.15,0.80,0.38,0.23,0.22,9
F,0.61,0.48,0.14,0.99,0.47,0.23,0.24,8
F,0.61,0.47,0.16,0.97,0.39,0.22,0.33,9
F,0.61,0.51,0.18,1.43,0.73,0.26,0.43,11
M,0.61,0.48,0.16,0.98,0.46,0.23,0.27,10
F,0.61,0.47,0.16,1.07,0.48,0.25,0.28,10
F,0.61,0.49,0.15,1.24,0.60,0.29,0.31,12
M,0.61,0.47,0.16,1.02,0.45,0.23,0.29,9
F,0.61,0.48,0.16,1.12,0.38,0.22,0.38,10
I,0.61,0.47,0.13,0.92,0.44,0.19,0.26,9
M,0.61,0.47,0.17,1.12,0.52,0.24,0.31,9
F,0.61,0.49,0.18,1.28,0.57,0.29,0.36,7
M,0.62,0.47,0.16,1.02,0.47,0.24,0.28,10
M,0.62,0.48,0.18,1.22,0.60,0.26,0.31,9
I,0.62,0.49,0.18,1.15,0.49,0.26,0.32,12
F,0.62,0.52,0.16,1.33,0.67,0.26,0.34,12
M,0.62,0.52,0.18,1.22,0.54,0.24,0.40,13
F,0.62,0.54,0.17,1.14,0.50,0.24,0.36,11
I,0.62,0.49,0.16,1.07,0.45,0.25,0.31,11
F,0.62,0.48,0.18,1.22,0.58,0.27,0.31,12
I,0.62,0.47,0.14,0.86,0.36,0.16,0.30,9
I,0.62,0.45,0.14,0.92,0.36,0.23,0.30,10
M,0.62,0.48,0.15,1.27,0.63,0.26,0.31,12
F,0.62,0.48,0.18,1.04,0.46,0.22,0.30,9
M,0.63,0.49,0.17,1.12,0.49,0.26,0.33,11
M,0.63,0.48,0.16,1.08,0.50,0.24,0.31,10
M,0.63,0.50,0.17,1.10,0.46,0.22,0.35,9
I,0.63,0.47,0.16,1.20,0.64,0.21,0.31,12
F,0.63,0.49,0.18,1.36,0.68,0.26,0.37,10
I,0.63,0.49,0.15,1.04,0.44,0.29,0.28,9
M,0.63,0.51,0.17,1.09,0.46,0.27,0.30,9
F,0.63,0.50,0.18,1.20,0.51,0.23,0.40,8
M,0.63,0.49,0.17,1.17,0.53,0.27,0.34,11
M,0.63,0.49,0.17,1.23,0.66,0.23,0.30,10
M,0.63,0.50,0.18,1.27,0.61,0.27,0.33,11
I,0.64,0.50,0.17,1.49,0.72,0.34,0.36,13
M,0.64,0.50,0.17,1.43,0.61,0.31,0.42,12
F,0.64,0.49,0.18,1.24,0.58,0.31,0.31,10
F,0.64,0.49,0.17,1.26,0.54,0.27,0.38,9
F,0.64,0.51,0.17,1.22,0.52,0.27,0.36,10
M,0.64,0.52,0.18,1.25,0.55,0.29,0.37,10
M,0.64,0.53,0.19,1.71,0.76,0.42,0.44,11
M,0.65,0.51,0.15,1.16,0.52,0.26,0.34,10
M,0.65,0.50,0.18,1.29,0.56,0.29,0.39,12
M,0.65,0.50,0.19,1.56,0.74,0.37,0.38,14
M,0.65,0.51,0.19,1.47,0.61,0.35,0.48,9
M,0.65,0.51,0.20,1.23,0.59,0.22,0.37,10
M,0.65,0.51,0.16,1.33,0.67,0.31,0.32,9
F,0.65,0.51,0.16,1.24,0.58,0.28,0.32,9
M,0.65,0.50,0.18,1.34,0.55,0.31,0.42,10
F,0.65,0.51,0.19,1.36,0.57,0.36,0.36,10
M,0.65,0.49,0.15,1.22,0.57,0.27,0.33,9
F,0.65,0.48,0.19,1.37,0.69,0.29,0.35,12
F,0.65,0.50,0.16,1.34,0.62,0.32,0.34,9
M,0.65,0.51,0.19,1.27,0.59,0.23,0.39,11
M,0.65,0.53,0.19,1.49,0.67,0.34,0.38,11
M,0.65,0.51,0.16,1.38,0.64,0.29,0.37,9
M,0.66,0.55,0.18,1.27,0.59,0.28,0.37,10
F,0.66,0.51,0.15,1.04,0.48,0.22,0.31,9
F,0.66,0.51,0.19,1.35,0.59,0.27,0.43,12
F,0.66,0.51,0.20,1.44,0.69,0.38,0.36,11
M,0.66,0.50,0.17,1.32,0.67,0.27,0.34,9
F,0.66,0.54,0.18,1.52,0.71,0.31,0.42,12
M,0.66,0.53,0.20,1.55,0.65,0.33,0.50,10
M,0.66,0.51,0.17,1.64,0.77,0.35,0.39,14
M,0.67,0.53,0.18,1.44,0.66,0.38,0.35,11
M,0.67,0.51,0.16,1.29,0.61,0.25,0.37,11
F,0.67,0.51,0.16,1.29,0.63,0.29,0.32,11
M,0.67,0.52,0.18,1.37,0.61,0.32,0.40,12
M,0.67,0.50,0.18,1.30,0.61,0.31,0.32,9
M,0.67,0.51,0.16,1.26,0.63,0.31,0.31,12
M,0.67,0.52,0.17,1.39,0.71,0.29,0.30,11
F,0.67,0.52,0.19,1.32,0.52,0.31,0.43,13
F,0.67,0.55,0.16,1.57,0.86,0.34,0.35,10
F,0.67,0.54,0.20,1.62,0.74,0.33,0.47,11
M,0.68,0.53,0.16,1.28,0.57,0.28,0.35,13
F,0.68,0.51,0.20,1.38,0.60,0.32,0.40,10
M,0.68,0.52,0.20,1.45,0.59,0.39,0.41,10
